Customer_No,Gender,LiteracyLevel,MaritalStatus,Occupation,ApplicantIncome,LoanHistroy,LoanTerm,LoanAmount,LoanStatus
4405001,FEMALE,NOT SPECIFIED,MARRIED,GOVERNMENT_EMPLOYEE,24166.55,2,36,30000,Accepted
4405002,FEMALE,NOT SPECIFIED,MARRIED,GOVERNMENT_EMPLOYEE,8055.75,2,36,10000,Rejected
4405003,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,32912.85,2,36,50000,Accepted
4405004,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,21849.1,1,36,30000,Rejected
4405005,FEMALE,NOT SPECIFIED,MARRIED,GOVERNMENT_EMPLOYEE,19999.8,1,36,30000,Accepted
4405006,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,9166.45,1,24,20000,Rejected
4405007,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,6875.0,1,24,15000,Rejected
4405008,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,30555.4,2,36,50000,Accepted
4405009,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,30555.4,2,36,50000,Accepted
4405010,FEMALE,NOT SPECIFIED,SINGLE,TRADE/BUSINESS,14692.35,2,36,30000,Rejected
4405011,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,17499.75,1,36,30000,Rejected
4405012,FEMALE,NOT SPECIFIED,UNSPECIFIED,TRADE/BUSINESS,19166.45,1,36,30000,Rejected
4405013,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,16666.4,1,36,30000,Rejected
4405014,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,19166.45,1,36,30000,Rejected
4405015,FEMALE,PRIMARY/ELEMENTARY,MARRIED,GOVERNMENT_EMPLOYEE,30555.4,2,36,50000,Accepted
4405016,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,5556.0,1,36,10000,Rejected
4405017,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,27777.6,2,36,50000,Accepted
4405018,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,18333.1,1,36,30000,Accepted
4405019,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,18333.1,1,36,30000,Rejected
4405020,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,16666.4,2,36,30000,Rejected
4405021,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,30555.4,2,36,50000,Rejected
4405022,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,26228.7,1,36,50000,Rejected
4405023,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,14166.35,2,36,30000,Accepted
4405024,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,14999.7,2,36,30000,Rejected
4405025,FEMALE,PRIMARY/ELEMENTARY,SINGLE,TRADE/BUSINESS,16666.4,1,36,30000,Rejected
4405026,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,16666.4,1,36,30000,Rejected
4405027,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,15833.05,1,36,30000,Rejected
4405028,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,17499.75,1,36,30000,Rejected
4405029,FEMALE,PRIMARY/ELEMENTARY,MARRIED,FARMING,15833.05,2,36,30000,Rejected
4405030,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,16528.2,2,36,35000,Rejected
4405031,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,13888.8,2,36,25000,Rejected
4405032,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,14166.35,2,36,30000,Rejected
4405033,FEMALE,NOT SPECIFIED,UNSPECIFIED,GOVERNMENT_EMPLOYEE,15833.05,1,36,30000,Rejected
4405034,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,27778.4,2,36,50000,Rejected
4405035,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,27658.4,2,36,50000,Accepted
4405036,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,19166.45,1,36,30000,Accepted
4405037,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,9444.55,2,36,20000,Accepted
4405038,FEMALE,NOT SPECIFIED,MARRIED,FARMING,7777.9,1,36,20000,Rejected
4405039,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,7777.9,1,36,20000,Rejected
